Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime
PI040298AA4C055243,4903185.0,2.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9gvk965b,2019-06-11T13:54:15.000Z,2019-06-17T13:54:03.000Z
"PI040307AA4C019989. FuturePractice:,Id:1196,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:Stc_rde_oak Below Anthony MWoo,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-10-20T13:08:15.052917+00:",360502.0,465652.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7kzf48dx,2019-10-10T12:38:48.000Z,2019-10-28T15:24:05.000Z
PI040307AA4A016667,360472.0,465652.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_dnapas1h,2019-10-10T12:29:18.000Z,2019-10-28T15:14:36.000Z
"PI040307AA4A016608. FuturePractice:,Id:1192,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:Stc,_rde_field opp house,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-10-20T12:52:43.906027+00:",360431.0,465958.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fbrmxjh3,2019-10-10T12:05:26.000Z,2019-10-28T14:35:48.000Z
PI040307AA4C020377,360373.0,465943.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_c4p1k4a7,2019-10-10T11:58:58.000Z,2019-10-28T14:29:17.000Z
PI040307AA4A016727,360323.0,465883.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pvh5na3x,2019-10-10T11:51:37.000Z,2019-10-28T14:36:51.000Z
"PI040307AA4A016520. FuturePractice:,Id:1194,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:,Longitude:,ParcelSize:,Photos:,SensorId:Stc_.rde_low Whitmoor 3,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-10-20T13:01:51.93976+00:",360213.0,465662.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_bqx2s08y,2019-10-10T11:22:59.000Z,2019-10-28T14:23:20.000Z
"PI040307AA4C019855. FuturePractice:,Id:432,LandCoverOverlay:,LandCoverTypes:[Additional:[],Cover:> 91%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Field or grazing pasture,Latitude:52.2899971,Longitude:-6.799615,ParcelSize:1  5 ha,Photos:,SensorId:Moor 2,SensorMissionManagement:true,SensorOnMulchedGround:false,SensorOvergrown:true,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-12-01T13:35:15.484092+00:",360206.0,465643.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ergwswmt,2019-10-10T11:09:33.000Z,2019-10-28T14:24:58.000Z
"PI040307AA4C020026. FuturePractice:,Id:431,LandCoverOverlay:,LandCoverTypes:[Additional:[],Cover:> 91%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Field or grazing pasture,Latitude:52.2898827,Longitude:-6.79935455,ParcelSize:1  5 ha,Photos:,SensorId:Moor 1,SensorMissionManagement:true,SensorOnMulchedGround:false,SensorOvergrown:true,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-12-01T13:35:08.160331+00:",360196.0,465632.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hxpc7x6d,2019-10-10T10:58:59.000Z,2019-10-28T14:29:12.000Z
